collection_time_utc,entity_id,trip_id,route_id,direction_id,start_time,start_date,timestamp,delay_seconds,is_deleted,delay_minutes,collection_date,source_file,collection_day_status,collection_coverage_hours,is_partial_day,is_model_baseline_day,agency_id,route_short_name,route_long_name,route_type,service_type,route_display_name,is_special_route,trip_hour,weekday,day_of_month,delay_abs_minutes,delay_risk,weather_hour,temperature_2m,precipitation,rain,relative_humidity_2m,wind_speed_10m,recommended_action
2026-05-06 09:34:55+00:00,901-95012-24000-2-cc0681c1,901-95012-24000-2-cc0681c1,HMB-209,1,6:40:00,20260507,1778024403,0,False,0.0,2026-05-06,gtfs_realtime_2026-05-06.csv,partial_or_interrupted,0.5,True,False,FGL,HMB,HMB,4,Ferry,HMB,False,9,2,6,0.0,Low,2026-05-06 09:00:00+00:00,17.4,0.0,0.0,86.0,13.1,No operational action required
2026-05-06 09:34:55+00:00,521-93022-76500-1-23f81938,521-93022-76500-1-23f81938,MTID-241,1,21:15:00,20260506,1778059151,251,False,4.183333333,2026-05-06,gtfs_realtime_2026-05-06.csv,partial_or_interrupted,0.5,True,False,ID,MTID,MTID,4,Ferry,MTID,False,9,2,6,4.183333333,Low,2026-05-06 09:00:00+00:00,17.4,0.0,0.0,86.0,13.1,No operational action required
2026-05-06 09:34:55+00:00,521-93021-40500-1-9bc9d477,521-93021-40500-1-9bc9d477,MTID-241,0,11:15:00,20260507,1778016942,0,False,0.0,2026-05-06,gtfs_realtime_2026-05-06.csv,partial_or_interrupted,0.5,True,False,ID,MTID,MTID,4,Ferry,MTID,False,9,2,6,0.0,Low,2026-05-06 09:00:00+00:00,17.4,0.0,0.0,86.0,13.1,No operational action required
2026-05-06 09:34:55+00:00,521-93021-33300-1-9bc9d477,521-93021-33300-1-9bc9d477,MTID-241,0,9:15:00,20260507,1778016942,0,False,0.0,2026-05-06,gtfs_realtime_2026-05-06.csv,partial_or_interrupted,0.5,True,False,ID,MTID,MTID,4,Ferry,MTID,False,9,2,6,0.0,Low,2026-05-06 09:00:00+00:00,17.4,0.0,0.0,86.0,13.1,No operational action required
2026-05-06 09:34:55+00:00,521-93022-22500-1-23f81938,521-93022-22500-1-23f81938,MTID-241,1,6:15:00,20260507,1778016942,0,False,0.0,2026-05-06,gtfs_realtime_2026-05-06.csv,partial_or_interrupted,0.5,True,False,ID,MTID,MTID,4,Ferry,MTID,False,9,2,6,0.0,Low,2026-05-06 09:00:00+00:00,17.4,0.0,0.0,86.0,13.1,No operational action required
2026-05-06 09:34:55+00:00,521-93021-26100-1-9bc9d477,521-93021-26100-1-9bc9d477,MTID-241,0,7:15:00,20260507,1778016942,0,False,0.0,2026-05-06,gtfs_realtime_2026-05-06.csv,partial_or_interrupted,0.5,True,False,ID,MTID,MTID,4,Ferry,MTID,False,9,2,6,0.0,Low,2026-05-06 09:00:00+00:00,17.4,0.0,0.0,86.0,13.1,No operational action required
2026-05-06 09:34:55+00:00,521-93022-36900-1-23f81938,521-93022-36900-1-23f81938,MTID-241,1,10:15:00,20260507,1778016942,0,False,0.0,2026-05-06,gtfs_realtime_2026-05-06.csv,partial_or_interrupted,0.5,True,False,ID,MTID,MTID,4,Ferry,MTID,False,9,2,6,0.0,Low,2026-05-06 09:00:00+00:00,17.4,0.0,0.0,86.0,13.1,No operational action required
2026-05-06 09:34:55+00:00,246-850002-82020-2-5279126-707042b5,246-850002-82020-2-5279126-707042b5,EAST-201,1,22:47:00,20260506,1778026729,0,False,0.0,2026-05-06,gtfs_realtime_2026-05-06.csv,partial_or_interrupted,0.5,True,False,AM,EAST,EAST,2,Train / Rail,EAST,False,9,2,6,0.0,Low,2026-05-06 09:00:00+00:00,17.4,0.0,0.0,86.0,13.1,No operational action required
2026-05-06 09:34:55+00:00,246-850002-76620-2-5273126-3777e670,246-850002-76620-2-5273126-3777e670,EAST-201,1,21:17:00,20260506,1778060046,35,False,0.583333333,2026-05-06,gtfs_realtime_2026-05-06.csv,partial_or_interrupted,0.5,True,False,AM,EAST,EAST,2,Train / Rail,EAST,False,9,2,6,0.583333333,Low,2026-05-06 09:00:00+00:00,17.4,0.0,0.0,86.0,13.1,No operational action required
2026-05-06 09:34:55+00:00,246-850001-79260-2-5274126-315575f0,246-850001-79260-2-5274126-315575f0,EAST-201,0,22:01:00,20260506,1778026729,0,False,0.0,2026-05-06,gtfs_realtime_2026-05-06.csv,partial_or_interrupted,0.5,True,False,AM,EAST,EAST,2,Train / Rail,EAST,False,9,2,6,0.0,Low,2026-05-06 09:00:00+00:00,17.4,0.0,0.0,86.0,13.1,No operational action required
2026-05-06 09:34:55+00:00,246-850001-73860-2-5268126-791ace90,246-850001-73860-2-5268126-791ace90,EAST-201,0,20:31:00,20260506,1778059025,-54,False,-0.9,2026-05-06,gtfs_realtime_2026-05-06.csv,partial_or_interrupted,0.5,True,False,AM,EAST,EAST,2,Train / Rail,EAST,False,9,2,6,0.9,Low,2026-05-06 09:00:00+00:00,17.4,0.0,0.0,86.0,13.1,No operational action required
2026-05-06 09:34:55+00:00,246-850010-73020-2-5269132-4e6739ae,246-850010-73020-2-5269132-4e6739ae,EAST-201,1,20:17:00,20260506,1778057645,-79,False,-1.316666667,2026-05-06,gtfs_realtime_2026-05-06.csv,partial_or_interrupted,0.5,True,False,AM,EAST,EAST,2,Train / Rail,EAST,False,9,2,6,1.316666667,Low,2026-05-06 09:00:00+00:00,17.4,0.0,0.0,86.0,13.1,No operational action required
2026-05-06 09:34:55+00:00,247-810038-74580-2-7W80622-671b7275,247-810038-74580-2-7W80622-671b7275,WEST-201,1,20:43:00,20260506,1778059680,33,False,0.55,2026-05-06,gtfs_realtime_2026-05-06.csv,partial_or_interrupted,0.5,True,False,AM,WEST,WEST,2,Train / Rail,WEST,False,9,2,6,0.55,Low,2026-05-06 09:00:00+00:00,17.4,0.0,0.0,86.0,13.1,No operational action required
2026-05-06 09:34:55+00:00,247-810076-78180-2-5W84616-d5945f6a,247-810076-78180-2-5W84616-d5945f6a,WEST-201,1,21:43:00,20260506,1778026944,0,False,0.0,2026-05-06,gtfs_realtime_2026-05-06.csv,partial_or_interrupted,0.5,True,False,AM,WEST,WEST,2,Train / Rail,WEST,False,9,2,6,0.0,Low,2026-05-06 09:00:00+00:00,17.4,0.0,0.0,86.0,13.1,No operational action required
2026-05-06 09:34:55+00:00,247-810089-80700-2-5W75616-d4dea894,247-810089-80700-2-5W75616-d4dea894,WEST-201,0,22:25:00,20260506,1778026944,0,False,0.0,2026-05-06,gtfs_realtime_2026-05-06.csv,partial_or_interrupted,0.5,True,False,AM,WEST,WEST,2,Train / Rail,WEST,False,9,2,6,0.0,Low,2026-05-06 09:00:00+00:00,17.4,0.0,0.0,86.0,13.1,No operational action required
2026-05-06 09:34:55+00:00,247-810023-73200-2-9169616-daef1149,247-810023-73200-2-9169616-daef1149,WEST-201,0,20:20:00,20260506,1778059049,88,False,1.466666667,2026-05-06,gtfs_realtime_2026-05-06.csv,partial_or_interrupted,0.5,True,False,AM,WEST,WEST,2,Train / Rail,WEST,False,9,2,6,1.466666667,Low,2026-05-06 09:00:00+00:00,17.4,0.0,0.0,86.0,13.1,No operational action required
2026-05-06 09:34:55+00:00,247-810076-76380-2-5W82615-8ac79a96,247-810076-76380-2-5W82615-8ac79a96,WEST-201,1,21:13:00,20260506,1778059821,-56,False,-0.933333333,2026-05-06,gtfs_realtime_2026-05-06.csv,partial_or_interrupted,0.5,True,False,AM,WEST,WEST,2,Train / Rail,WEST,False,9,2,6,0.933333333,Low,2026-05-06 09:00:00+00:00,17.4,0.0,0.0,86.0,13.1,No operational action required
2026-05-06 09:34:55+00:00,247-810076-81780-2-5W88615-d05ace57,247-810076-81780-2-5W88615-d05ace57,WEST-201,1,22:43:00,20260506,1778026954,0,False,0.0,2026-05-06,gtfs_realtime_2026-05-06.csv,partial_or_interrupted,0.5,True,False,AM,WEST,WEST,2,Train / Rail,WEST,False,9,2,6,0.0,Low,2026-05-06 09:00:00+00:00,17.4,0.0,0.0,86.0,13.1,No operational action required
2026-05-06 09:34:55+00:00,247-810089-78900-2-5W73615-ad5a430b,247-810089-78900-2-5W73615-ad5a430b,WEST-201,0,21:55:00,20260506,1778058635,0,False,0.0,2026-05-06,gtfs_realtime_2026-05-06.csv,partial_or_interrupted,0.5,True,False,AM,WEST,WEST,2,Train / Rail,WEST,False,9,2,6,0.0,Low,2026-05-06 09:00:00+00:00,17.4,0.0,0.0,86.0,13.1,No operational action required
