route_id,route_short_name,route_long_name,route_corridor_name,service_type,route_display_name,is_special_route,delay_risk,recommended_action,records,share_pct
325-203,325,325,325 - Mangere Town Ctr / Manukau Station Via Otahuhu & Otara,Bus,325,False,Medium,Monitor route conditions,7940,0.2378
325-203,325,325,325 - Mangere Town Ctr / Manukau Station Via Otahuhu & Otara,Bus,325,False,High,Adjust service headway,451,0.0135
325-203,325,325,325 - Mangere Town Ctr / Manukau Station Via Otahuhu & Otara,Bus,325,False,Severe,Deploy standby bus or supervisor review,81,0.0024
326-203,326,326,326 - Mangere Town Centre / Middlemore via Earlsworth Rd (C),Bus,326,False,Low,No operational action required,5233,0.1568
326-203,326,326,326 - Mangere Town Centre / Middlemore via Earlsworth Rd (C),Bus,326,False,Medium,Monitor route conditions,7945,0.238
326-203,326,326,326 - Mangere Town Centre / Middlemore via Earlsworth Rd (C),Bus,326,False,High,Adjust service headway,29,0.0009
326-203,326,326,326 - Mangere Town Centre / Middlemore via Earlsworth Rd (C),Bus,326,False,Severe,Deploy standby bus or supervisor review,10,0.0003
327-203,,,327-203,Unknown / unmatched route,327-203,False,Low,No operational action required,1559,0.0467
327-203,,,327-203,Unknown / unmatched route,327-203,False,Medium,Monitor route conditions,796,0.0238
327-203,,,327-203,Unknown / unmatched route,327-203,False,Severe,Deploy standby bus or supervisor review,8,0.0002
33-203,33,33,33 - Papakura Interchange / Otahuhu Station Via Great South Rd,Bus,33,False,Low,No operational action required,29243,0.876
33-203,33,33,33 - Papakura Interchange / Otahuhu Station Via Great South Rd,Bus,33,False,Medium,Monitor route conditions,9993,0.2993
33-203,33,33,33 - Papakura Interchange / Otahuhu Station Via Great South Rd,Bus,33,False,High,Adjust service headway,623,0.0187
33-203,33,33,33 - Papakura Interchange / Otahuhu Station Via Great South Rd,Bus,33,False,Severe,Deploy standby bus or supervisor review,99,0.003
35-205,35,35,35 - Ormiston / Botany Via Chapel Rd,Bus,35,False,Low,No operational action required,20017,0.5996
35-205,35,35,35 - Ormiston / Botany Via Chapel Rd,Bus,35,False,Medium,Monitor route conditions,5875,0.176
35-205,35,35,35 - Ormiston / Botany Via Chapel Rd,Bus,35,False,High,Adjust service headway,240,0.0072
35-205,35,35,35 - Ormiston / Botany Via Chapel Rd,Bus,35,False,Severe,Deploy standby bus or supervisor review,91,0.0027
351-205,351,351,351 - Botany / Otahuhu Station Via Highbrook,Bus,351,False,Low,No operational action required,6609,0.198
351-205,351,351,351 - Botany / Otahuhu Station Via Highbrook,Bus,351,False,Medium,Monitor route conditions,2306,0.0691
351-205,351,351,351 - Botany / Otahuhu Station Via Highbrook,Bus,351,False,High,Adjust service headway,135,0.004
351-205,351,351,351 - Botany / Otahuhu Station Via Highbrook,Bus,351,False,Severe,Deploy standby bus or supervisor review,35,0.001
352-205,352,352,352 - Manukau Bus Station / Panmure Via Flat Bush,Bus,352,False,Low,No operational action required,5650,0.1692
352-205,352,352,352 - Manukau Bus Station / Panmure Via Flat Bush,Bus,352,False,Medium,Monitor route conditions,3387,0.1015
352-205,352,352,352 - Manukau Bus Station / Panmure Via Flat Bush,Bus,352,False,High,Adjust service headway,513,0.0154
352-205,352,352,352 - Manukau Bus Station / Panmure Via Flat Bush,Bus,352,False,Severe,Deploy standby bus or supervisor review,22,0.0007
353-205,353,353,353 - Manukau Bus Station / Botany Town Centre Via Preston Rd,Bus,353,False,Low,No operational action required,10957,0.3282
353-205,353,353,353 - Manukau Bus Station / Botany Town Centre Via Preston Rd,Bus,353,False,Medium,Monitor route conditions,2659,0.0796
353-205,353,353,353 - Manukau Bus Station / Botany Town Centre Via Preston Rd,Bus,353,False,High,Adjust service headway,170,0.0051
353-205,353,353,353 - Manukau Bus Station / Botany Town Centre Via Preston Rd,Bus,353,False,Severe,Deploy standby bus or supervisor review,74,0.0022
355-205,355,355,355 - Botany / Manukau Bus Station Via Mission Heights & Ormiston,Bus,355,False,Low,No operational action required,13826,0.4142
355-205,355,355,355 - Botany / Manukau Bus Station Via Mission Heights & Ormiston,Bus,355,False,Medium,Monitor route conditions,4267,0.1278
355-205,355,355,355 - Botany / Manukau Bus Station Via Mission Heights & Ormiston,Bus,355,False,High,Adjust service headway,242,0.0072
355-205,355,355,355 - Botany / Manukau Bus Station Via Mission Heights & Ormiston,Bus,355,False,Severe,Deploy standby bus or supervisor review,134,0.004
36-203,36,36,36 - Manukau / Onehunga via Mangere Town Centre,Bus,36,False,Low,No operational action required,21013,0.6294
36-203,36,36,36 - Manukau / Onehunga via Mangere Town Centre,Bus,36,False,Medium,Monitor route conditions,7671,0.2298
36-203,36,36,36 - Manukau / Onehunga via Mangere Town Centre,Bus,36,False,High,Adjust service headway,618,0.0185
36-203,36,36,36 - Manukau / Onehunga via Mangere Town Centre,Bus,36,False,Severe,Deploy standby bus or supervisor review,113,0.0034
362-203,362,362,362 - Manukau Bus Station / Weymouth Via Great South Rd,Bus,362,False,Low,No operational action required,13368,0.4004
362-203,362,362,362 - Manukau Bus Station / Weymouth Via Great South Rd,Bus,362,False,Medium,Monitor route conditions,2166,0.0649
362-203,362,362,362 - Manukau Bus Station / Weymouth Via Great South Rd,Bus,362,False,High,Adjust service headway,178,0.0053
362-203,362,362,362 - Manukau Bus Station / Weymouth Via Great South Rd,Bus,362,False,Severe,Deploy standby bus or supervisor review,40,0.0012
363-203,363,363,363 - Manurewa Interchange / Wattle Downs Loop,Bus,363,False,Low,No operational action required,6560,0.1965
363-203,363,363,363 - Manurewa Interchange / Wattle Downs Loop,Bus,363,False,Medium,Monitor route conditions,644,0.0193
363-203,363,363,363 - Manurewa Interchange / Wattle Downs Loop,Bus,363,False,High,Adjust service headway,46,0.0014
363-203,363,363,363 - Manurewa Interchange / Wattle Downs Loop,Bus,363,False,Severe,Deploy standby bus or supervisor review,37,0.0011
364-203,364,364,364 - Papakura Station / Manurewa Station via Takaanini,Bus,364,False,Low,No operational action required,13331,0.3993
364-203,364,364,364 - Papakura Station / Manurewa Station via Takaanini,Bus,364,False,Medium,Monitor route conditions,2153,0.0645
364-203,364,364,364 - Papakura Station / Manurewa Station via Takaanini,Bus,364,False,High,Adjust service headway,69,0.0021
364-203,364,364,364 - Papakura Station / Manurewa Station via Takaanini,Bus,364,False,Severe,Deploy standby bus or supervisor review,77,0.0023
365-203,365,365,365 - Papakura Interchange / Manukau Bus Station Via Porchester,Bus,365,False,Low,No operational action required,15252,0.4569
365-203,365,365,365 - Papakura Interchange / Manukau Bus Station Via Porchester,Bus,365,False,Medium,Monitor route conditions,4408,0.132
365-203,365,365,365 - Papakura Interchange / Manukau Bus Station Via Porchester,Bus,365,False,High,Adjust service headway,495,0.0148
365-203,365,365,365 - Papakura Interchange / Manukau Bus Station Via Porchester,Bus,365,False,Severe,Deploy standby bus or supervisor review,130,0.0039
366-203,366,366,366 - Manurewa Interchange / Manukau Bus Station Via The Gardens,Bus,366,False,Low,No operational action required,14197,0.4253
366-203,366,366,366 - Manurewa Interchange / Manukau Bus Station Via The Gardens,Bus,366,False,Medium,Monitor route conditions,3196,0.0957
366-203,366,366,366 - Manurewa Interchange / Manukau Bus Station Via The Gardens,Bus,366,False,High,Adjust service headway,150,0.0045
366-203,366,366,366 - Manurewa Interchange / Manukau Bus Station Via The Gardens,Bus,366,False,Severe,Deploy standby bus or supervisor review,70,0.0021
37-203,37,37,"37 - Manurewa / Highbrook via Roscommon, Puhinui and Preston Rd",Bus,37,False,Low,No operational action required,26441,0.792
37-203,37,37,"37 - Manurewa / Highbrook via Roscommon, Puhinui and Preston Rd",Bus,37,False,Medium,Monitor route conditions,3261,0.0977
37-203,37,37,"37 - Manurewa / Highbrook via Roscommon, Puhinui and Preston Rd",Bus,37,False,High,Adjust service headway,369,0.0111
37-203,37,37,"37 - Manurewa / Highbrook via Roscommon, Puhinui and Preston Rd",Bus,37,False,Severe,Deploy standby bus or supervisor review,118,0.0035
372-203,372,372,372 - Papakura Shops / Keri Hill Loop,Bus,372,False,Low,No operational action required,7067,0.2117
372-203,372,372,372 - Papakura Shops / Keri Hill Loop,Bus,372,False,Medium,Monitor route conditions,628,0.0188
372-203,372,372,372 - Papakura Shops / Keri Hill Loop,Bus,372,False,High,Adjust service headway,44,0.0013
372-203,372,372,372 - Papakura Shops / Keri Hill Loop,Bus,372,False,Severe,Deploy standby bus or supervisor review,12,0.0004
373-203,373,373,373 - Red Hill / Papakura Shops,Bus,373,False,Low,No operational action required,5497,0.1647
373-203,373,373,373 - Red Hill / Papakura Shops,Bus,373,False,Medium,Monitor route conditions,382,0.0114
373-203,373,373,373 - Red Hill / Papakura Shops,Bus,373,False,High,Adjust service headway,22,0.0007
373-203,373,373,373 - Red Hill / Papakura Shops,Bus,373,False,Severe,Deploy standby bus or supervisor review,30,0.0009
376-203,376,376,376 - Papakura Shops / Auranga Dr Via Drury,Bus,376,False,Low,No operational action required,6416,0.1922
376-203,376,376,376 - Papakura Shops / Auranga Dr Via Drury,Bus,376,False,Medium,Monitor route conditions,2251,0.0674
376-203,376,376,376 - Papakura Shops / Auranga Dr Via Drury,Bus,376,False,High,Adjust service headway,151,0.0045
376-203,376,376,376 - Papakura Shops / Auranga Dr Via Drury,Bus,376,False,Severe,Deploy standby bus or supervisor review,64,0.0019
377-203,377,377,377 - Papakura Interchange / Park Estate Loop,Bus,377,False,Low,No operational action required,4538,0.1359
377-203,377,377,377 - Papakura Interchange / Park Estate Loop,Bus,377,False,Medium,Monitor route conditions,4266,0.1278
377-203,377,377,377 - Papakura Interchange / Park Estate Loop,Bus,377,False,High,Adjust service headway,13,0.0004
377-203,377,377,377 - Papakura Interchange / Park Estate Loop,Bus,377,False,Severe,Deploy standby bus or supervisor review,29,0.0009
378-203,378,378,378 - Papakura Shops / Karaka Harbourside Loop And Karaka Lakes,Bus,378,False,Low,No operational action required,4172,0.125
378-203,378,378,378 - Papakura Shops / Karaka Harbourside Loop And Karaka Lakes,Bus,378,False,Medium,Monitor route conditions,903,0.027
378-203,378,378,378 - Papakura Shops / Karaka Harbourside Loop And Karaka Lakes,Bus,378,False,High,Adjust service headway,76,0.0023
378-203,378,378,378 - Papakura Shops / Karaka Harbourside Loop And Karaka Lakes,Bus,378,False,Severe,Deploy standby bus or supervisor review,43,0.0013
379-203,379,379,379 - Clarks Beach / Papakura,Bus,379,False,Low,No operational action required,5609,0.168
379-203,379,379,379 - Clarks Beach / Papakura,Bus,379,False,Medium,Monitor route conditions,2699,0.0808
379-203,379,379,379 - Clarks Beach / Papakura,Bus,379,False,High,Adjust service headway,17,0.0005
379-203,379,379,379 - Clarks Beach / Papakura,Bus,379,False,Severe,Deploy standby bus or supervisor review,24,0.0007
38-203,38,38,38 - Airport / Onehunga via Mangere Town Centre,Bus,38,False,Low,No operational action required,25643,0.7681
38-203,38,38,38 - Airport / Onehunga via Mangere Town Centre,Bus,38,False,Medium,Monitor route conditions,5822,0.1744
38-203,38,38,38 - Airport / Onehunga via Mangere Town Centre,Bus,38,False,High,Adjust service headway,481,0.0144
38-203,38,38,38 - Airport / Onehunga via Mangere Town Centre,Bus,38,False,Severe,Deploy standby bus or supervisor review,136,0.0041
39-203,39,39,39 - Manurewa Interchange / Otara / MIT Via Mahia Rd,Bus,39,False,Low,No operational action required,22759,0.6817
39-203,39,39,39 - Manurewa Interchange / Otara / MIT Via Mahia Rd,Bus,39,False,Medium,Monitor route conditions,7345,0.22
39-203,39,39,39 - Manurewa Interchange / Otara / MIT Via Mahia Rd,Bus,39,False,High,Adjust service headway,666,0.0199
39-203,39,39,39 - Manurewa Interchange / Otara / MIT Via Mahia Rd,Bus,39,False,Severe,Deploy standby bus or supervisor review,456,0.0137
391-203,391,391,391 - Pukekohe Northeast Loop / Pukekohe Northeast loop,Bus,391,False,Low,No operational action required,7833,0.2346
391-203,391,391,391 - Pukekohe Northeast Loop / Pukekohe Northeast loop,Bus,391,False,Medium,Monitor route conditions,337,0.0101
391-203,391,391,391 - Pukekohe Northeast Loop / Pukekohe Northeast loop,Bus,391,False,High,Adjust service headway,7,0.0002
392-203,392,392,392 - Pukekohe Station,Bus,392,False,Low,No operational action required,7460,0.2235
392-203,392,392,392 - Pukekohe Station,Bus,392,False,Medium,Monitor route conditions,1592,0.0477
392-203,392,392,392 - Pukekohe Station,Bus,392,False,High,Adjust service headway,13,0.0004
393-203,393,393,393 - Pukekohe South Loop,Bus,393,False,Low,No operational action required,7687,0.2303
393-203,393,393,393 - Pukekohe South Loop,Bus,393,False,Medium,Monitor route conditions,350,0.0105
393-203,393,393,393 - Pukekohe South Loop,Bus,393,False,High,Adjust service headway,18,0.0005
393-203,393,393,393 - Pukekohe South Loop,Bus,393,False,Severe,Deploy standby bus or supervisor review,12,0.0004
394-203,394,394,394 - Pukekohe Interchange / Paerata Rise Loop,Bus,394,False,Low,No operational action required,4683,0.1403
394-203,394,394,394 - Pukekohe Interchange / Paerata Rise Loop,Bus,394,False,Medium,Monitor route conditions,925,0.0277
394-203,394,394,394 - Pukekohe Interchange / Paerata Rise Loop,Bus,394,False,High,Adjust service headway,9,0.0003
394-203,394,394,394 - Pukekohe Interchange / Paerata Rise Loop,Bus,394,False,Severe,Deploy standby bus or supervisor review,1,0.0
395-203,395,395,395 - Waiuku / Papakura Interchange,Bus,395,False,Low,No operational action required,691,0.0207
395-203,395,395,395 - Waiuku / Papakura Interchange,Bus,395,False,Medium,Monitor route conditions,281,0.0084
395-203,395,395,395 - Waiuku / Papakura Interchange,Bus,395,False,High,Adjust service headway,1,0.0
395-203,395,395,395 - Waiuku / Papakura Interchange,Bus,395,False,Severe,Deploy standby bus or supervisor review,15,0.0004
396-203,396,396,396 - Waiuku / Pukekohe Interchange Via Kitchener Rd And Patumaho,Bus,396,False,Low,No operational action required,3201,0.0959
396-203,396,396,396 - Waiuku / Pukekohe Interchange Via Kitchener Rd And Patumaho,Bus,396,False,Medium,Monitor route conditions,1256,0.0376
396-203,396,396,396 - Waiuku / Pukekohe Interchange Via Kitchener Rd And Patumaho,Bus,396,False,High,Adjust service headway,27,0.0008
396-203,396,396,396 - Waiuku / Pukekohe Interchange Via Kitchener Rd And Patumaho,Bus,396,False,Severe,Deploy standby bus or supervisor review,1,0.0
501-217,501,501,501 - Kennedy Point / Matiatia Wharf,Bus,501,False,Low,No operational action required,5739,0.1719
501-217,501,501,501 - Kennedy Point / Matiatia Wharf,Bus,501,False,Medium,Monitor route conditions,929,0.0278
501-217,501,501,501 - Kennedy Point / Matiatia Wharf,Bus,501,False,High,Adjust service headway,32,0.001
502-217,502,502,502 - Rocky Bay / Matiatia Wharf,Bus,502,False,Low,No operational action required,11769,0.3525
502-217,502,502,502 - Rocky Bay / Matiatia Wharf,Bus,502,False,Medium,Monitor route conditions,1597,0.0478
502-217,502,502,502 - Rocky Bay / Matiatia Wharf,Bus,502,False,High,Adjust service headway,64,0.0019
502-217,502,502,502 - Rocky Bay / Matiatia Wharf,Bus,502,False,Severe,Deploy standby bus or supervisor review,40,0.0012
50A-217,50A,50A,50A - Onetangi (Seventh Ave) / Matiatia Wharf,Bus,50A,False,Low,No operational action required,11311,0.3388
50A-217,50A,50A,50A - Onetangi (Seventh Ave) / Matiatia Wharf,Bus,50A,False,Medium,Monitor route conditions,1654,0.0495
50A-217,50A,50A,50A - Onetangi (Seventh Ave) / Matiatia Wharf,Bus,50A,False,High,Adjust service headway,2,0.0001
50A-217,50A,50A,50A - Onetangi (Seventh Ave) / Matiatia Wharf,Bus,50A,False,Severe,Deploy standby bus or supervisor review,6,0.0002
50B-217,50B,50B,50B - Onetangi (Fourth Ave) / Matiatia Wharf,Bus,50B,False,Low,No operational action required,8836,0.2647
50B-217,50B,50B,50B - Onetangi (Fourth Ave) / Matiatia Wharf,Bus,50B,False,Medium,Monitor route conditions,749,0.0224
50B-217,50B,50B,50B - Onetangi (Fourth Ave) / Matiatia Wharf,Bus,50B,False,Severe,Deploy standby bus or supervisor review,27,0.0008
64-202,64,64,64 - St Lukes / Newmarket Via Mt Eden,Bus,64,False,Low,No operational action required,25837,0.7739
64-202,64,64,64 - St Lukes / Newmarket Via Mt Eden,Bus,64,False,Medium,Monitor route conditions,6781,0.2031
64-202,64,64,64 - St Lukes / Newmarket Via Mt Eden,Bus,64,False,High,Adjust service headway,71,0.0021
64-202,64,64,64 - St Lukes / Newmarket Via Mt Eden,Bus,64,False,Severe,Deploy standby bus or supervisor review,9,0.0003
65-202,65,65,65 - Walker Park / Glen Innes,Bus,65,False,Low,No operational action required,24466,0.7329
65-202,65,65,65 - Walker Park / Glen Innes,Bus,65,False,Medium,Monitor route conditions,10374,0.3107
65-202,65,65,65 - Walker Park / Glen Innes,Bus,65,False,High,Adjust service headway,647,0.0194
65-202,65,65,65 - Walker Park / Glen Innes,Bus,65,False,Severe,Deploy standby bus or supervisor review,92,0.0028
66-203,66,66,66 - Pt Chevalier Beach / Sylvia Park Via Mt Albert Rd,Bus,66,False,Low,No operational action required,24592,0.7366
66-203,66,66,66 - Pt Chevalier Beach / Sylvia Park Via Mt Albert Rd,Bus,66,False,Medium,Monitor route conditions,6610,0.198
66-203,66,66,66 - Pt Chevalier Beach / Sylvia Park Via Mt Albert Rd,Bus,66,False,High,Adjust service headway,229,0.0069
66-203,66,66,66 - Pt Chevalier Beach / Sylvia Park Via Mt Albert Rd,Bus,66,False,Severe,Deploy standby bus or supervisor review,55,0.0016
67A-202,67A,67A,67A - New Lynn / Otahuhu Via Onehunga,Bus,67A,False,Low,No operational action required,15778,0.4726
67A-202,67A,67A,67A - New Lynn / Otahuhu Via Onehunga,Bus,67A,False,Medium,Monitor route conditions,7569,0.2267
67A-202,67A,67A,67A - New Lynn / Otahuhu Via Onehunga,Bus,67A,False,High,Adjust service headway,652,0.0195
67A-202,67A,67A,67A - New Lynn / Otahuhu Via Onehunga,Bus,67A,False,Severe,Deploy standby bus or supervisor review,54,0.0016
67B-202,67B,67B,67B - New Lynn / Onehunga Only,Bus,67B,False,Low,No operational action required,6502,0.1948
67B-202,67B,67B,67B - New Lynn / Onehunga Only,Bus,67B,False,Medium,Monitor route conditions,2753,0.0825
67B-202,67B,67B,67B - New Lynn / Onehunga Only,Bus,67B,False,High,Adjust service headway,227,0.0068
67B-202,67B,67B,67B - New Lynn / Onehunga Only,Bus,67B,False,Severe,Deploy standby bus or supervisor review,39,0.0012
68-202,68,68,68 - New Lynn / Onehunga Station,Bus,68,False,Low,No operational action required,14071,0.4215
68-202,68,68,68 - New Lynn / Onehunga Station,Bus,68,False,Medium,Monitor route conditions,10010,0.2998
68-202,68,68,68 - New Lynn / Onehunga Station,Bus,68,False,High,Adjust service headway,103,0.0031
68-202,68,68,68 - New Lynn / Onehunga Station,Bus,68,False,Severe,Deploy standby bus or supervisor review,89,0.0027
70-205,70,70,70 - Botany / Britomart Via Panmure,Bus,70,False,Low,No operational action required,39172,1.1734
70-205,70,70,70 - Botany / Britomart Via Panmure,Bus,70,False,Medium,Monitor route conditions,17642,0.5285
70-205,70,70,70 - Botany / Britomart Via Panmure,Bus,70,False,High,Adjust service headway,1642,0.0492
70-205,70,70,70 - Botany / Britomart Via Panmure,Bus,70,False,Severe,Deploy standby bus or supervisor review,299,0.009
70H-205,70H,70H,70H - Britomart / Howick And Botany Via Ellerslie And Panmure,Bus,70H,False,Low,No operational action required,241,0.0072
711-221,711,711,711 - Howick / Panmure Via Cascades Road,Bus,711,False,Low,No operational action required,6984,0.2092
711-221,711,711,711 - Howick / Panmure Via Cascades Road,Bus,711,False,Medium,Monitor route conditions,1518,0.0455
711-221,711,711,711 - Howick / Panmure Via Cascades Road,Bus,711,False,High,Adjust service headway,92,0.0028
711-221,711,711,711 - Howick / Panmure Via Cascades Road,Bus,711,False,Severe,Deploy standby bus or supervisor review,10,0.0003
712-221,712,712,712 - Bucklands Beach / Panmure,Bus,712,False,Low,No operational action required,6999,0.2097
712-221,712,712,712 - Bucklands Beach / Panmure,Bus,712,False,Medium,Monitor route conditions,2600,0.0779
712-221,712,712,712 - Bucklands Beach / Panmure,Bus,712,False,High,Adjust service headway,139,0.0042
712-221,712,712,712 - Bucklands Beach / Panmure,Bus,712,False,Severe,Deploy standby bus or supervisor review,42,0.0013
72C-205,72C,72C,"72C - Botany And Howick / Panmure Via Chapel Rd, Cook St, And Pak",Bus,72C,False,Low,No operational action required,14552,0.4359
72C-205,72C,72C,"72C - Botany And Howick / Panmure Via Chapel Rd, Cook St, And Pak",Bus,72C,False,Medium,Monitor route conditions,2231,0.0668
72C-205,72C,72C,"72C - Botany And Howick / Panmure Via Chapel Rd, Cook St, And Pak",Bus,72C,False,High,Adjust service headway,61,0.0018
72C-205,72C,72C,"72C - Botany And Howick / Panmure Via Chapel Rd, Cook St, And Pak",Bus,72C,False,Severe,Deploy standby bus or supervisor review,49,0.0015
72M-205,72M,72M,"72M - Botany and Howick / Panmure via Millhouse Dr, Meadowland Dr",Bus,72M,False,Low,No operational action required,12529,0.3753
72M-205,72M,72M,"72M - Botany and Howick / Panmure via Millhouse Dr, Meadowland Dr",Bus,72M,False,Medium,Monitor route conditions,1743,0.0522
72M-205,72M,72M,"72M - Botany and Howick / Panmure via Millhouse Dr, Meadowland Dr",Bus,72M,False,High,Adjust service headway,64,0.0019
72M-205,72M,72M,"72M - Botany and Howick / Panmure via Millhouse Dr, Meadowland Dr",Bus,72M,False,Severe,Deploy standby bus or supervisor review,15,0.0004
72X-205,72X,72X,72X - Botany And Howick / Britomart Express Via Panmure And Motor,Bus,72X,False,Low,No operational action required,4190,0.1255
72X-205,72X,72X,72X - Botany And Howick / Britomart Express Via Panmure And Motor,Bus,72X,False,Medium,Monitor route conditions,2906,0.087
72X-205,72X,72X,72X - Botany And Howick / Britomart Express Via Panmure And Motor,Bus,72X,False,High,Adjust service headway,360,0.0108
72X-205,72X,72X,72X - Botany And Howick / Britomart Express Via Panmure And Motor,Bus,72X,False,Severe,Deploy standby bus or supervisor review,24,0.0007
733-221,733,733,733 - Botany / The Parade Via Highland Park,Bus,733,False,Low,No operational action required,6229,0.1866
733-221,733,733,733 - Botany / The Parade Via Highland Park,Bus,733,False,Medium,Monitor route conditions,1650,0.0494
733-221,733,733,733 - Botany / The Parade Via Highland Park,Bus,733,False,High,Adjust service headway,36,0.0011
733-221,733,733,733 - Botany / The Parade Via Highland Park,Bus,733,False,Severe,Deploy standby bus or supervisor review,19,0.0006
734-221,734,734,734 - Botany / Half Moon Bay Via Highland Park,Bus,734,False,Low,No operational action required,6986,0.2093
734-221,734,734,734 - Botany / Half Moon Bay Via Highland Park,Bus,734,False,Medium,Monitor route conditions,714,0.0214
734-221,734,734,734 - Botany / Half Moon Bay Via Highland Park,Bus,734,False,High,Adjust service headway,59,0.0018
735-221,735,735,735 - Botany / Half Moon Bay Via Cockle Bay And Howick,Bus,735,False,Low,No operational action required,7482,0.2241
735-221,735,735,735 - Botany / Half Moon Bay Via Cockle Bay And Howick,Bus,735,False,Medium,Monitor route conditions,1689,0.0506
735-221,735,735,735 - Botany / Half Moon Bay Via Cockle Bay And Howick,Bus,735,False,High,Adjust service headway,10,0.0003
735-221,735,735,735 - Botany / Half Moon Bay Via Cockle Bay And Howick,Bus,735,False,Severe,Deploy standby bus or supervisor review,17,0.0005
738-221,738,738,738 - Maraetai / Pine Harbour via Beachlands,Bus,738,False,Low,No operational action required,7237,0.2168
738-221,738,738,738 - Maraetai / Pine Harbour via Beachlands,Bus,738,False,Medium,Monitor route conditions,126,0.0038
738-221,738,738,738 - Maraetai / Pine Harbour via Beachlands,Bus,738,False,High,Adjust service headway,1,0.0
738-221,738,738,738 - Maraetai / Pine Harbour via Beachlands,Bus,738,False,Severe,Deploy standby bus or supervisor review,10,0.0003
739-221,739,739,739 - Maraetai And Beachlands / Botany Via Whitford And Ormiston,Bus,739,False,Low,No operational action required,5714,0.1712
739-221,739,739,739 - Maraetai And Beachlands / Botany Via Whitford And Ormiston,Bus,739,False,Medium,Monitor route conditions,1099,0.0329
739-221,739,739,739 - Maraetai And Beachlands / Botany Via Whitford And Ormiston,Bus,739,False,High,Adjust service headway,8,0.0002
739-221,739,739,739 - Maraetai And Beachlands / Botany Via Whitford And Ormiston,Bus,739,False,Severe,Deploy standby bus or supervisor review,26,0.0008
74-221,74,74,74 - Onehunga / Glen Innes Via Panmure,Bus,74,False,Low,No operational action required,22675,0.6792
74-221,74,74,74 - Onehunga / Glen Innes Via Panmure,Bus,74,False,Medium,Monitor route conditions,7754,0.2323
74-221,74,74,74 - Onehunga / Glen Innes Via Panmure,Bus,74,False,High,Adjust service headway,106,0.0032
74-221,74,74,74 - Onehunga / Glen Innes Via Panmure,Bus,74,False,Severe,Deploy standby bus or supervisor review,21,0.0006
744-221,744,744,744 - Panmure / St Heliers Via Glen Innes,Bus,744,False,Low,No operational action required,12768,0.3825
744-221,744,744,744 - Panmure / St Heliers Via Glen Innes,Bus,744,False,Medium,Monitor route conditions,659,0.0197
744-221,744,744,744 - Panmure / St Heliers Via Glen Innes,Bus,744,False,High,Adjust service headway,9,0.0003
744-221,744,744,744 - Panmure / St Heliers Via Glen Innes,Bus,744,False,Severe,Deploy standby bus or supervisor review,7,0.0002
747-221,747,747,747 - Panmure / Glen Innes Via Stonefields,Bus,747,False,Low,No operational action required,13443,0.4027
747-221,747,747,747 - Panmure / Glen Innes Via Stonefields,Bus,747,False,Medium,Monitor route conditions,776,0.0232
747-221,747,747,747 - Panmure / Glen Innes Via Stonefields,Bus,747,False,High,Adjust service headway,21,0.0006
747-221,747,747,747 - Panmure / Glen Innes Via Stonefields,Bus,747,False,Severe,Deploy standby bus or supervisor review,20,0.0006
75-202,75,75,75 - Glen Innes / Wynyard Quarter Via Remuera Rd,Bus,75,False,Low,No operational action required,27534,0.8248
75-202,75,75,75 - Glen Innes / Wynyard Quarter Via Remuera Rd,Bus,75,False,Medium,Monitor route conditions,11521,0.3451
75-202,75,75,75 - Glen Innes / Wynyard Quarter Via Remuera Rd,Bus,75,False,High,Adjust service headway,843,0.0253
75-202,75,75,75 - Glen Innes / Wynyard Quarter Via Remuera Rd,Bus,75,False,Severe,Deploy standby bus or supervisor review,87,0.0026
751-202,751,751,751 - Panmure / Newmarket Via Marua Rd And Remuera Rd,Bus,751,False,Low,No operational action required,6458,0.1934
751-202,751,751,751 - Panmure / Newmarket Via Marua Rd And Remuera Rd,Bus,751,False,Medium,Monitor route conditions,1307,0.0392
751-202,751,751,751 - Panmure / Newmarket Via Marua Rd And Remuera Rd,Bus,751,False,High,Adjust service headway,56,0.0017
751-202,751,751,751 - Panmure / Newmarket Via Marua Rd And Remuera Rd,Bus,751,False,Severe,Deploy standby bus or supervisor review,5,0.0001
755-202,755,755,755 - Benson Rd / Britomart Via Portland Rd,Bus,755,False,Low,No operational action required,11446,0.3429
755-202,755,755,755 - Benson Rd / Britomart Via Portland Rd,Bus,755,False,Medium,Monitor route conditions,2040,0.0611
755-202,755,755,755 - Benson Rd / Britomart Via Portland Rd,Bus,755,False,High,Adjust service headway,58,0.0017
755-202,755,755,755 - Benson Rd / Britomart Via Portland Rd,Bus,755,False,Severe,Deploy standby bus or supervisor review,8,0.0002
76-202,76,76,76 - Britomart / Glen Innes Via Orakei,Bus,76,False,Low,No operational action required,24136,0.723
76-202,76,76,76 - Britomart / Glen Innes Via Orakei,Bus,76,False,Medium,Monitor route conditions,5052,0.1513
76-202,76,76,76 - Britomart / Glen Innes Via Orakei,Bus,76,False,High,Adjust service headway,155,0.0046
76-202,76,76,76 - Britomart / Glen Innes Via Orakei,Bus,76,False,Severe,Deploy standby bus or supervisor review,51,0.0015
774-202,774,774,774 - West Tamaki Rd / Britomart Via Long Dr And Tamaki Dr,Bus,774,False,Low,No operational action required,2871,0.086
