route_id,route_short_name,route_long_name,route_corridor_name,service_type,route_display_name,is_special_route,delay_risk,recommended_action,records,share_pct
27H-202,27H,27H,27H - Britomart / Waikowhai Via Mt Eden Rd And Hillsborough Rd,Bus,27H,False,Low,No operational action required,12420,0.372
27H-202,27H,27H,27H - Britomart / Waikowhai Via Mt Eden Rd And Hillsborough Rd,Bus,27H,False,Medium,Monitor route conditions,9972,0.2987
27H-202,27H,27H,27H - Britomart / Waikowhai Via Mt Eden Rd And Hillsborough Rd,Bus,27H,False,High,Adjust service headway,121,0.0036
27H-202,27H,27H,27H - Britomart / Waikowhai Via Mt Eden Rd And Hillsborough Rd,Bus,27H,False,Severe,Deploy standby bus or supervisor review,76,0.0023
27T-202,27T,27T,27T - Britomart / Three Kings Via Mt Eden Rd,Bus,27T,False,Low,No operational action required,701,0.021
27T-202,27T,27T,27T - Britomart / Three Kings Via Mt Eden Rd,Bus,27T,False,Medium,Monitor route conditions,575,0.0172
27T-202,27T,27T,27T - Britomart / Three Kings Via Mt Eden Rd,Bus,27T,False,High,Adjust service headway,25,0.0007
27W-202,27W,27W,27W - Britomart / Waikowhai Via Mt Eden Rd,Bus,27W,False,Low,No operational action required,14600,0.4373
27W-202,27W,27W,27W - Britomart / Waikowhai Via Mt Eden Rd,Bus,27W,False,Medium,Monitor route conditions,7870,0.2357
27W-202,27W,27W,27W - Britomart / Waikowhai Via Mt Eden Rd,Bus,27W,False,High,Adjust service headway,152,0.0046
27W-202,27W,27W,27W - Britomart / Waikowhai Via Mt Eden Rd,Bus,27W,False,Severe,Deploy standby bus or supervisor review,32,0.001
295-202,295,295,295 - Ellerslie Station / City Centre Via Royal Oak,Bus,295,False,Low,No operational action required,11785,0.353
295-202,295,295,295 - Ellerslie Station / City Centre Via Royal Oak,Bus,295,False,Medium,Monitor route conditions,5847,0.1751
295-202,295,295,295 - Ellerslie Station / City Centre Via Royal Oak,Bus,295,False,High,Adjust service headway,902,0.027
295-202,295,295,295 - Ellerslie Station / City Centre Via Royal Oak,Bus,295,False,Severe,Deploy standby bus or supervisor review,94,0.0028
298-221,298,298,298 - Onehunga / Sylvia Park Via Ellerslie,Bus,298,False,Low,No operational action required,12147,0.3639
298-221,298,298,298 - Onehunga / Sylvia Park Via Ellerslie,Bus,298,False,Medium,Monitor route conditions,1959,0.0587
298-221,298,298,298 - Onehunga / Sylvia Park Via Ellerslie,Bus,298,False,High,Adjust service headway,80,0.0024
298-221,298,298,298 - Onehunga / Sylvia Park Via Ellerslie,Bus,298,False,Severe,Deploy standby bus or supervisor review,14,0.0004
