route_id,route_short_name,route_display_name,route_corridor_name,service_type,is_special_route,ai_delay_risk,ai_recommended_action,ai_confidence_band,records,share_pct
191-203,191,191,191 - Lynfield / New Lynn Via Blockhouse Bay And Avondale,Bus,False,Medium,Monitor route conditions,Moderate action probability,4651,0.1393
195-203,195,195,195 - New Lynn / City Centre Via Green Bay,Bus,False,Low,No operational action required,Low action probability,1785,0.0535
195-203,195,195,195 - New Lynn / City Centre Via Green Bay,Bus,False,Medium,Monitor route conditions,Moderate action probability,19620,0.5877
20-202,20,20,20 - St Lukes / Wynyard Quarter Via Kingsland,Bus,False,Low,No operational action required,Low action probability,17476,0.5235
20-202,20,20,20 - St Lukes / Wynyard Quarter Via Kingsland,Bus,False,Medium,Monitor route conditions,Moderate action probability,5745,0.1721
209-203,209,209,209 - City Centre / Titirangi via New North Rd and Green Bay,Bus,False,Low,No operational action required,Low action probability,386,0.0116
209-203,209,209,209 - City Centre / Titirangi via New North Rd and Green Bay,Bus,False,Medium,Monitor route conditions,Moderate action probability,2383,0.0714
22N-202,22N,22N,22N - New Lynn / City Centre Via New North Rd,Bus,False,Low,No operational action required,Low action probability,1784,0.0534
22N-202,22N,22N,22N - New Lynn / City Centre Via New North Rd,Bus,False,Medium,Monitor route conditions,Moderate action probability,18319,0.5487
22N-202,22N,22N,22N - New Lynn / City Centre Via New North Rd,Bus,False,High,Adjust service headway,High action probability,952,0.0285
22R-202,22R,22R,22R - Rosebank Rd / City Centre Via New North Rd,Bus,False,Low,No operational action required,Low action probability,191,0.0057
22R-202,22R,22R,22R - Rosebank Rd / City Centre Via New North Rd,Bus,False,Medium,Monitor route conditions,Moderate action probability,21413,0.6414
22R-202,22R,22R,22R - Rosebank Rd / City Centre Via New North Rd,Bus,False,High,Adjust service headway,High action probability,788,0.0236
24B-202,24B,24B,24B - New Lynn And Blockhouse Bay / City Centre Via Sandringham R,Bus,False,Low,No operational action required,Low action probability,258,0.0077
24B-202,24B,24B,24B - New Lynn And Blockhouse Bay / City Centre Via Sandringham R,Bus,False,Medium,Monitor route conditions,Moderate action probability,25601,0.7669
24B-202,24B,24B,24B - New Lynn And Blockhouse Bay / City Centre Via Sandringham R,Bus,False,High,Adjust service headway,High action probability,632,0.0189
24R-202,24R,24R,24R - New Lynn / City Centre Via Sandingham Rd,Bus,False,Low,No operational action required,Low action probability,1114,0.0334
24R-202,24R,24R,24R - New Lynn / City Centre Via Sandingham Rd,Bus,False,Medium,Monitor route conditions,Moderate action probability,22354,0.6696
252-202,252,252,252 - Lynfield / Civic Centre Via Dominion Rd,Bus,False,Low,No operational action required,Low action probability,243,0.0073
252-202,252,252,252 - Lynfield / Civic Centre Via Dominion Rd,Bus,False,Medium,Monitor route conditions,Moderate action probability,928,0.0278
253-202,253,253,253 - Blockhouse Bay / Civic Centre Via Dominion Rd,Bus,False,Low,No operational action required,Low action probability,208,0.0062
253-202,253,253,253 - Blockhouse Bay / Civic Centre Via Dominion Rd,Bus,False,Medium,Monitor route conditions,Moderate action probability,1083,0.0324
