service_type,route_display_name,route_corridor_name,route_id,is_special_route,delay_risk,recommended_action,records,unique_trips,avg_delay_minutes,max_delay_minutes
Unknown / unmatched route,S464-203,S464-203,S464-203,true,High,Adjust service headway,1,1,16.133,16.133
Bus,170,170 - Titirangi South / New Lynn,170-203,false,Severe,Deploy standby bus or supervisor review,1,1,51.867,51.867
Unknown / unmatched route,S084B-203,S084B-203,S084B-203,true,High,Adjust service headway,1,1,15.367,15.367
Bus,394,394 - Pukekohe Interchange / Paerata Rise Loop,394-203,false,Severe,Deploy standby bus or supervisor review,1,1,25.233,25.233
Bus,907,907 - Campbells Bay / Constellation Station Via Sunnynook Station,907-203,false,High,Adjust service headway,1,1,17.917,17.917
Unknown / unmatched route,S028-202,S028-202,S028-202,true,High,Adjust service headway,1,1,15.183,15.183
Unknown / unmatched route,S073-202,S073-202,S073-202,true,High,Adjust service headway,1,1,15.133,15.133
Unknown / unmatched route,S075-203,S075-203,S075-203,true,High,Adjust service headway,1,1,15.25,15.25
Unknown / unmatched route,S406-203,S406-203,S406-203,true,Severe,Deploy standby bus or supervisor review,1,1,26.35,26.35
Bus,738,738 - Maraetai / Pine Harbour via Beachlands,738-221,false,High,Adjust service headway,1,1,18.567,18.567
Bus,926,926 - Glenfield / Akoranga Station Via Hillcrest West,926-203,false,High,Adjust service headway,1,1,17.117,17.117
Unknown / unmatched route,S052-202,S052-202,S052-202,true,High,Adjust service headway,1,1,15.583,15.583
Unknown / unmatched route,S080-202,S080-202,S080-202,true,High,Adjust service headway,1,1,16.033,16.033
Unknown / unmatched route,S025A-203,S025A-203,S025A-203,true,Severe,Deploy standby bus or supervisor review,1,1,41.367,41.367
Unknown / unmatched route,S031A-203,S031A-203,S031A-203,true,High,Adjust service headway,1,1,15.083,15.083
Unknown / unmatched route,S072D-203,S072D-203,S072D-203,true,High,Adjust service headway,1,1,24.017,24.017
Unknown / unmatched route,S013A-218,S013A-218,S013A-218,true,High,Adjust service headway,1,1,20.25,20.25
Bus,802,802 - Bayswater / City (Mayoral Dr),802-202,false,Severe,Deploy standby bus or supervisor review,1,1,25.433,25.433
